FECHA,EMISOR,MONEDA,TASA,TASA/MARGEN,PLAZO (en meses),VN,CALIFICACIÓN
29-abr-26,Provincia del Chubut (Ley NY),USD Int,Fija,"9,45%",120,"650,00",Caa1 (Moody’s)
28-abr-26,Edenor (Ley NY),USD Int,Fija,"9,50%",84,"523,30",B- (S&P) / B3 (Moody’s)
28-abr-26,Edenor (Ley NY),USD Int,Fija,"9,50%",84,"26,70",B- (S&P) / B3 (Moody’s)
28-abr-26,Banco Santander,ARS,TAMAR,"3,25%",12,"157.000,00",A-1 (Moody’s)
27-abr-26,Hijos de Salvador Muñoz,USD Mep,Fija,"7,70%",18,"10,00",A (Fix SCR)
24-abr-26,Banco de Valores,ARS,TAMAR,"3,00%",6,"90.084,00",A1+ (Fix SCR)
24-abr-26,Banco Comafi – XXIII,USD Cable,Fija,"3,50%",18,"13,00",AA (Fix SCR)
17-abr-26,Banco Comafi – XXI,USD Mep,Fija,"3,25%",12,"20,30",A1+ (Fix SCR)
17-abr-26,Banco Comafi – XXII,ARS,TAMAR,"3,75%",12,"58.440,00",A1+ (Fix SCR)
17-abr-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",18,"250,00",SC
17-abr-26,BONAR 2028 (AO28),USD Mep,Fija,"6,00%",30,"250,00",SC
14-abr-26,YPF S.A. – XLIII,USD Mep,Fija,"5,50%",48,"122,10",AAA (Moody’s)
08-abr-26,Vista Energy (Ley NY),USD Int,Fija,"7,88%",144,"500,00",BB- (Fitch Ratings)
01-abr-26,Pampa Energía,USD Mep,Fija,"5,49%",36,"200,00",AAA (Fix SCR)
31-mar-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",19,"95,00",SC
31-mar-26,BONAR 2028 (AO28),USD Mep,Fija,"6,00%",31,"36,00",SC
16-mar-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",19,"250,00",SC
11-mar-26,ICBC,ARS,TAMAR,"3,50%",12,"68.544,00",A1+
09-mar-26,Compañía General de Combustibles,USD Mep,Fija,"9,50%",24,"55,20",AA-
05-mar-26,Telecom Argentina,USD Mep,Fija,"6,50%",36,"81,30",AA+
04-mar-26,Banco BBVA Argentina,ARS,TAMAR,"3,50%",12,"45.457,00",A1+
04-mar-26,Pcia. Entre Ríos (Ley NY),USD Int,Fija,"9,55%",84,"300,00",Caa1 (Moody’s) / CCC+ (S&P)
27-feb-26,Pluspetrol,USD Mep,Fija,"6,50%",36,"167,50",AAA (Fix SCR)
27-feb-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",20,"250,00",SC
27-feb-26,Luz de Tres Picos,USD Mep,Fija,"8,00%",36,"49,60",AA (Fix SCR)
27-feb-26,BBVA,USD Mep,Fija,"5,00%",18,"36,50",AAA (Fix SCR)
26-feb-26,PSA Finance,ARS,TAMAR,"4,75%",15,"19.884,00",AA (Fix SCR)
25-feb-26,Arcor,ARS,TAMAR,"3,40%",12,"79.070,00",A-1 (Moody’s)
23-feb-26,Oleoductos del Valle,USD Mep,Fija,"6,90%",48,"110,00",AAA (Fix SCR)
23-feb-26,Banco Hipotecario,USD Mep,Fija,"5,00%",12,"28,70",A1+ (Fix SCR)
23-feb-26,Mercado Pago,ARS,TAMAR,"3,50%",12,"61.241,00",A1+ (Fix SCR) / A1 (Moody’s)
23-feb-26,Banco Hipotecario,ARS,TAMAR,"3,50%",12,"25.389,00",A1+ (Fix SCR)
19-feb-26,YPF (Adicionales),USD Mep,Fija,"7,00%",36,"161,00",AAA (Moody’s)
18-feb-26,Grupo ST,USD Mep,Fija,"8,25%",12,"11,80",A1 (Fix SCR)
09-feb-26,Edenor (Ley NY) Adicionales,USD Int,Fija,"9,75%",56,"90,00",B- (Fitch) / B- (S&P) / B3 (Moody’s)
09-feb-26,MSU Energy,USD Mep,Fija,"7,50%",21,"59,70",AA- (Fix SCR)
09-feb-26,CNH Industrial Capital Argentina,USD Mep,Fija,"7,50%",36,"46,50",AA (Fix SCR)
06-feb-26,Banco Comafi,USD Cable,Fija,"5,25%",18,"30,50",AA (Fix SCR)
06-feb-26,Banco Comafi,USD Mep,Fija,"4,75%",12,"40,00",A1+ (Fix SCR)
06-feb-26,Banco Comafi,USD Mep,Fija,"7,00%",36,"7,00",AA (Fix SCR)
05-feb-26,Credicuotas Consumo,USD Mep,Fija,"6,50%",8,"23,60",A1 (Fix SCR)
03-feb-26,Provincia de Córdoba (Ley NY),USD Int,Fija,"8,60%",108,"800,00",B- (Fitch) / B3 (Moody’s)
30-ene-26,Crown Point Energía,USD Linked,Fija,"10,75%",36,"30,00",A- (Fix SCR)
29-ene-26,Otamerica Ebytem,USD Mep,Fija,"6,74%",42,"50,00",AAA (Moody’s)
29-ene-26,Mirgor,USD Mep,Fija,"8,25%",18,"26,50",A+ (Moody’s)
27-ene-26,YPF (Adicionales),USD Int,Fija,"8,25%",96,"550,00",B- (S&P) / B2 (Moody’s)
23-ene-26,Loma Negra,USD Mep,Fija,"6,50%",36,"60,00",AAA (Fix SCR)
20-ene-26,Telecom,USD Int,Fija,"8,50%",120,"600,00",B2 (Moody’s)
20-ene-26,Banco Macro,USD Int,Fija,"7,25%",12,"400,00",A-1 (Moody’s)
20-ene-26,Cresud  LI,USD Mep,Fija,"5,75%",12,"46,80",A1+ (Fix SCR)
20-ene-26,Cresud  L Adicionales,USD Mep,Fija,"7,25%",38,"40,80",AAA (Fix SCR)
20-ene-26,FyO,USD Mep,Fija,"7,90%",18,"20,90",AA- (Fix SCR)
20-ene-26,FyO,USD Linked,Fija,"8,50%",18,"7,10",A+ (Fix SCR)
16-ene-26,John Deere Credit Cía. Financiera,USD Mep,Fija,"7,75%",36,"80,00",AA (Fix SCR)
16-ene-26,Scania Credit,USD Mep,Fija,"7,49%",36,"41,00",AA (Fix SCR)
15-ene-26,Banco de Servicios y Transacciones,USD Mep,Fija,"7,00%",12,"10,90",A-1 (Moody’s) / A1 (Fix SCR)
15-ene-26,Banco de Servicios y Transacciones,ARS,TAMAR,"5,00%",12,"10.240,00",A-1 (Moody’s) / A1 (Fix SCR)
